number,title,labels,scenario
7213,"Aspire Dashboard is not showing the updated start time and Actions (Stop/Start) only working from Dashboard. (Multiple Bugs)","area-azure-aca,azure-container-apps",UNMAPPED
7216,"Add grafana dashboard for Runtime and Process metrics","area-dashboard,area-telemetry",UNMAPPED
7255,"Show docker pull progress in dashboard","area-dashboard,area-orchestrator",UNMAPPED
7257,"Add first class JSON log viewer support","area-dashboard,dashboard-logs",UNMAPPED
7265,"EF Cosmos tracing data missing","area-integrations,azure-cosmosdb",UNMAPPED
7281,"Unable to add package Aspire.Hosting.MongoDB to AppHost, dependencies don't support any target frameworks",area-tooling,UNMAPPED
7287,"Report a better status when a container is deleted for a container resource",area-orchestrator,UNMAPPED
7307,"Yarp ServiceDiscovery not working in azure app service",area-service-discovery,UNMAPPED
7311,"flaky test: MilvusFunctionalTests.WithDataShouldPersistStateBetweenUsages","area-integrations,testing ☑️,milvus",UNMAPPED
7320,"Add DocumentDB support in .NET Aspire",area-integrations,UNMAPPED
7326,"OIDC authn and authz not working with roles array (like ['Admin', 'ReadAll']",area-dashboard,UNMAPPED
7346,"Consider exposing WaitForText* methods",area-app-model,UNMAPPED
7351,"Expose details about underlying base image","area-dashboard,area-orchestrator",UNMAPPED
7365,"[Proposal] Add APIs to configure DCP options",area-app-model,UNMAPPED
7373,"When Resource is Project and is terminated due to an exception the state is Finished with exit code 0",area-app-model,UNMAPPED
7505,"[Dashboard][Metrics] - add rate of change view",area-dashboard,UNMAPPED
7506,"[Dashboard][Metrics] Add support to not-aggregate a dimension but instead show multiple ""series"" per dimension values",area-dashboard,UNMAPPED
7514,"Consider supporting subscription IDs in existing resource scope","area-integrations,azure,Azure.Provisioning",UNMAPPED
7521,"launchSettings are ignored when AppDesignerFolder has been defined",needs-retriage,UNMAPPED
7524,"Allow Aspire service discovery to work in a hosted Blazor WebAssembly project","area-app-model,blazor-wasm",UNMAPPED
7528,"Reduce exceptions thrown in Aspire.Hosting",area-app-model,UNMAPPED
